english,somali,Dataset_ID
English sentence 1,Somali sentence 1,8223
English sentence 2,Somali sentence 2,9979
English sentence 3,Somali sentence 3,4816
English sentence 4,Somali sentence 4,8324
English sentence 5,Somali sentence 5,6978
English sentence 6,Somali sentence 6,1382
English sentence 7,Somali sentence 7,9234
English sentence 8,Somali sentence 8,2110
English sentence 9,Somali sentence 9,7732
English sentence 10,Somali sentence 10,4743
English sentence 11,Somali sentence 11,1187
English sentence 12,Somali sentence 12,7995
English sentence 13,Somali sentence 13,8659
English sentence 14,Somali sentence 14,7301
English sentence 15,Somali sentence 15,6228
English sentence 16,Somali sentence 16,6413
English sentence 17,Somali sentence 17,8856
English sentence 18,Somali sentence 18,1688
English sentence 19,Somali sentence 19,9168
English sentence 20,Somali sentence 20,6653
English sentence 21,Somali sentence 21,4448
English sentence 22,Somali sentence 22,5274
English sentence 23,Somali sentence 23,5375
English sentence 24,Somali sentence 24,6256
English sentence 25,Somali sentence 25,5534
English sentence 26,Somali sentence 26,2194
English sentence 27,Somali sentence 27,5932
English sentence 28,Somali sentence 28,5745
English sentence 29,Somali sentence 29,4519
English sentence 30,Somali sentence 30,7057
